,region,ode_name,num,epochs,latent_dim,2015 7,2015 14,2015 21,2015 28,2016 7,2016 14,2016 21,2016 28,2017 7,2017 14,2017 21,2017 28,2018 7,2018 14,2018 21,2018 28,skill 2015 7,skill 2015 14,skill 2015 21,skill 2015 28,skill 2016 7,skill 2016 14,skill 2016 21,skill 2016 28,skill 2018 7,skill 2018 14,skill 2018 21,skill 2018 28,skill 2017 7,skill 2017 14,skill 2017 21,skill 2017 28
20,US,SONNb,11.0,120.0,8.0,-0.007908386,0.06307857,0.250954431,0.439957231,1.61096408,2.840818027,3.167825652,3.025950102,3.484090613,3.613923923,4.414555091,5.799320766,0.625545379,0.605412066,0.70450126,0.823246537,,,,,,,,,,,,,,,,
38,US,SONNb,12.0,120.0,8.0,1.007100062,1.007707615,1.022722287,1.042560997,0.290035785,0.472730709,1.22197078,2.094426227,1.120965335,1.28000221,1.831889528,2.729775609,0.143138968,0.568086769,1.038794623,1.404927142,,,,,,,,,,,,,,,,
56,US,SONNb,13.0,120.0,8.0,0.314500138,0.181444704,0.387058696,0.663973413,0.458550698,0.863559356,1.62692699,2.395043228,5.837559772,6.762544438,6.408063229,6.842060616,0.052430277,0.171487109,0.438041751,0.67564266,,,,,,,,,,,,,,,,
74,US,SONNb,14.0,120.0,8.0,0.259821351,0.265476819,0.340895833,0.473225065,0.507339663,0.551039858,0.85425858,1.233780094,1.761975071,1.625823698,1.773575602,2.330007847,0.668058654,0.737647058,0.805138818,0.908081606,,,,,,,,,,,,,,,,
4,US,UONN,10.0,120.0,8.0,0.298402772,0.016575763,-0.009499903,0.153720331,2.738280735,2.868711857,3.090108856,3.363537943,1.374398753,1.100938698,1.121511232,1.516361116,0.115498894,0.616767583,1.153167673,1.672041564,,,,,,,,,,,,,,,,
21,US,UONN,11.0,120.0,8.0,0.799350784,0.774155145,0.774335782,0.794767561,7.355003029,8.422205545,9.168773981,9.64402026,1.446770841,1.528753897,2.120014258,3.483709254,2.712344407,2.36425223,2.19365255,2.109081294,,,,,,,,,,,,,,,,
39,US,UONN,12.0,120.0,8.0,0.498838337,0.476391649,0.497057711,0.553065276,0.033617303,0.087995145,0.541345673,1.163889356,2.594665529,3.297606229,4.577586978,6.445765113,0.037955679,0.184178999,0.61046593,1.250025595,,,,,,,,,,,,,,,,
57,US,UONN,13.0,120.0,8.0,0.940700805,0.960500519,1.020056241,1.078656401,3.347683642,2.806735317,2.473275219,2.283024725,1.423326685,1.584772624,2.312384085,3.760848016,-0.137525073,0.362929678,0.991847956,1.667912211,,,,,,,,,,,,,,,,
75,US,UONN,14.0,120.0,8.0,0.240804478,-0.117307976,-0.158709421,0.099891851,0.737973632,0.616296314,0.8653104,1.206003096,0.71773598,0.911927438,1.302992873,1.950821756,0.453793664,0.773400782,1.098109869,1.368916772,,,,,,,,,,,,,,,,
0,US,UONNb,10.0,120.0,8.0,1.031224167,1.028905213,1.037924761,1.054807812,4.47314375,6.495024729,11.92277026,24.16183142,2.896932761,3.074577237,3.574785124,4.52395136,0.337592032,0.31446487,0.781269392,1.761178248,,,,,,,,,,,,,,,,
23,US,UONNb,11.0,120.0,8.0,0.138061944,-0.102658178,-0.036742486,0.230863035,1.461619422,1.233892927,1.127907037,1.109412609,0.921202883,0.814998242,1.01240638,1.372417837,0.983497797,0.949788897,1.042692759,1.201523165,,,,,,,,,,,,,,,,
41,US,UONNb,12.0,120.0,8.0,1.880643884,1.885905585,1.975232439,2.07011348,0.270908422,0.227174623,0.441863797,0.644601207,0.488017352,0.714311924,1.4314651,2.899499912,7.527403463,6.624525635,6.300321528,6.275768742,,,,,,,,,,,,,,,,
59,state,UONNb,14.0,120.0,8.0,0.308185063,0.151409008,0.236736036,0.458387414,0.708100699,0.562396227,0.674575011,0.96092128,2.422607237,2.670638917,3.139646011,4.033860357,2.223907215,2.263278178,2.308838651,2.351953458,,,,,,,,,,,,,,,,
77,US,UONNb,14.0,120.0,8.0,0.150557689,0.106110289,0.178641748,0.323843303,0.528645891,0.476732164,0.555145351,0.711532392,5.472589055,6.143905283,7.501300234,9.540106356,0.113219032,0.211767054,0.504742961,0.893380904,,,,,,,,,,,,,,,,
14,state,CONN,10.0,120.0,8.0,1.448249974,1.467879247,1.478941645,1.486260217,1.693041419,1.607030202,1.675499693,1.766877729,1.930544372,1.914493535,2.086927798,2.316510516,1.721547342,1.687907655,1.728654882,1.793461129,,,,,,,,,,,,,,,,
32,state,CONN,11.0,120.0,8.0,1.444993691,1.454238932,1.454648348,1.456274775,2.040824887,2.024843235,2.039189575,2.074464479,2.973241786,3.272584475,3.552668128,3.796497205,1.712284067,1.728136771,1.815729371,1.913042723,,,,,,,,,,,,,,,,
50,state,CONN,12.0,120.0,8.0,1.31731707,1.339012067,1.375606862,1.416402943,2.203223839,2.211573787,2.227628093,2.239343182,3.310926113,3.260185114,3.159877812,3.073474133,1.768781757,1.738139619,1.811921101,1.973910368,,,,,,,,,,,,,,,,
68,state,CONN,13.0,120.0,8.0,1.417731687,1.436689075,1.444109664,1.447019475,2.108572401,2.027842435,1.964538865,1.929214192,3.059245635,3.041548547,3.047487772,3.069892801,1.668300763,1.652945306,1.703404069,1.751951684,,,,,,,,,,,,,,,,
86,state,CONN,14.0,120.0,8.0,1.416621618,1.435040249,1.44324877,1.44702284,2.160549453,2.158511182,2.158109923,2.15756728,1.752973506,1.779859268,1.942454146,2.156335094,,,,,,,,,,,,,,,,,,,,
17,state,CONNb,10.0,120.0,8.0,,,,,1.679652856,1.825779945,2.06307833,2.337093459,3.374100892,3.439305082,3.500137,3.556236251,1.82098847,1.876041498,2.042033868,2.306149138,,,,,,,,,,,,,,,,
34,state,CONNb,11.0,120.0,8.0,1.451043722,1.444838883,1.443277622,1.444236865,2.118568475,2.153754598,2.184225378,2.211552625,3.158626744,3.215729308,3.327342123,3.48273017,2.049870411,2.1015003,2.176545723,2.256935735,,,,,,,,,,,,,,,,
52,state,CONNb,12.0,120.0,8.0,1.448378549,1.44379195,1.441768888,1.444163432,2.134598836,2.163529353,2.187440947,2.213040243,3.099741558,3.154373693,3.269460068,3.419902181,2.212985182,2.2408116,2.273986223,2.309511675,,,,,,,,,,,,,,,,
70,state,CONNb,13.0,120.0,8.0,1.397163163,1.398663551,1.402290316,1.411974631,1.572956924,1.733059769,2.002309105,2.315572656,1.946110195,2.288220577,2.727920104,3.241727453,2.152958181,2.179744132,2.218893716,2.263080628,,,,,,,,,,,,,,,,
88,state,CONNb,14.0,120.0,8.0,1.462377667,1.460701529,1.461518205,1.462848308,1.731988277,1.90900166,2.218569311,2.572792049,2.895498957,3.015646329,3.135792865,3.249695467,,,,,,,,,,,,,,,,,,,,
12,state,SONN,10.0,120.0,8.0,1.639953035,1.765753246,1.808637437,1.847118905,2.175200461,2.175090301,2.161085937,2.141771103,2.92868349,2.807054493,2.676279825,2.56864077,1.762361329,1.742539019,1.792430644,1.830494777,,,,,,,,,,,,,,,,
30,state,SONN,11.0,120.0,8.0,1.71157387,1.785741549,1.862428341,1.923121312,2.066191,2.021369207,2.022699876,2.025420443,3.18015152,3.114939388,3.008194123,2.865680999,2.185248456,2.048465338,1.971711994,1.903305051,,,,,,,,,,,,,,,,
48,state,SONN,12.0,120.0,8.0,1.44168471,1.448199519,1.474958984,1.517878821,1.984003195,1.952629905,1.943271784,1.92418709,2.953201262,2.806570839,2.688843832,2.580925609,1.577742288,1.637021692,1.727297386,1.767710603,,,,,,,,,,,,,,,,
66,state,SONN,13.0,120.0,8.0,1.631348021,1.582773227,1.56624896,1.601125312,1.453908627,1.492906161,1.61311995,1.731336053,1.715351174,1.847797629,2.243647523,2.444773942,1.703943088,1.648460936,1.670539074,1.721011205,,,,,,,,,,,,,,,,
84,state,SONN,14.0,120.0,8.0,1.441072501,1.457847964,1.491743527,1.535609176,1.838946456,1.645475172,1.764133898,1.932802927,2.946787327,2.854896137,2.737555685,2.616888324,1.936157563,1.911363163,1.897581608,1.906203062,,,,,,,,,,,,,,,,
13,state,SONNb,10.0,120.0,8.0,1.212021853,1.350676093,1.484901028,1.578716266,2.225480139,2.193954827,2.17522767,2.148620253,3.168657105,3.139232386,3.113963826,3.103466091,1.685813825,1.713380103,1.758361249,1.824758737,,,,,,,,,,,,,,,,
31,state,SONNb,11.0,120.0,8.0,1.467156787,1.478719118,1.518615251,1.568160103,1.75708649,1.646517554,1.888930891,2.265105483,3.399912885,3.380871014,3.385276999,3.387567656,2.223200705,2.307683252,2.498331481,2.754213128,,,,,,,,,,,,,,,,
49,state,SONNb,12.0,120.0,8.0,1.141583202,1.240394069,1.359982924,1.461547228,1.83971738,1.567864251,1.583081605,1.614811831,2.922239531,2.906556841,2.897781223,2.887558738,2.265698062,2.180423613,2.136014511,2.147375633,,,,,,,,,,,,,,,,
67,state,SONNb,13.0,120.0,8.0,1.449475929,1.454604419,1.465571804,1.475918118,2.101076066,2.084764297,2.059407282,2.033656779,2.659970023,2.84182635,3.046987583,3.214761234,1.858681828,1.783947682,1.802356464,1.876282589,,,,,,,,,,,,,,,,
85,state,SONNb,14.0,120.0,8.0,1.140407649,1.225203392,1.332684751,1.452890501,2.16776355,2.148382477,2.162322146,2.184462389,3.529389222,3.494438071,3.431930517,3.359416295,,,,,,,,,,,,,,,,,,,,
15,state,UONN,10.0,120.0,8.0,1.449722421,1.457418354,1.461529126,1.464639123,2.234477809,2.272029267,2.310782159,2.307880918,3.355865502,3.350088426,3.522502847,3.805081662,2.196778798,2.145088682,2.139522517,2.152172249,,,,,,,,,,,,,,,,
